15 6536 21939
1 112 -0.171516 -0.0977241
0 113 0.471951 -0.270507
1 113 0.481304 -0.304926
0 114 -0.168319 -0.240787
1 114 -0.140809 -0.28478
0 115 0.251586 0.0404173
1 115 0.265468 0.00695486
0 116 0.171725 0.323787
1 116 0.184438 0.284236
0 117 0.130061 0.00949027
1 117 0.143164 -0.0335453
0 118 -0.130237 0.133184
1 118 -0.117482 0.0532129
0 108 0.206613 0.277391
0 119 -0.184119 -0.226167
1 119 -0.156621 -0.273091
0 120 0.150915 -0.115078
1 120 0.129912 -0.232031
0 121 -0.229062 -0.256278
1 121 -0.197767 -0.3019
0 116 0.171419 0.322321
0 122 0.380367 0.277534
1 122 0.385407 0.22664
0 114 -0.166054 -0.23987
0 123 -0.211077 -0.269537
1 123 -0.180971 -0.314822
0 124 0.0216057 -0.20636
1 124 0.0443933 -0.236994
0 125 0.0733852 -0.109478
1 125 0.093237 -0.14276
0 126 0.208399 0.120958
1 126 0.216418 0.0721588
0 127 -0.165687 -0.229995
1 127 -0.139442 -0.274828
0 128 0.232102 0.0295327
1 128 0.245856 -0.00449452
0 129 -0.0368002 0.142457
1 129 -0.0218111 0.089442
0 130 0.305496 -0.00396317
1 130 0.318129 -0.0422198
0 131 0.134704 -0.272696
1 131 0.156107 -0.296227
0 132 -0.0666354 -0.151605
1 132 -0.0439009 -0.194654
0 117 0.124963 -0.000848129
0 133 0.295082 0.151719
1 133 0.300803 0.0999072
0 134 -0.110344 -0.0108006
1 134 -0.0897439 -0.0580093
0 135 0.314509 0.128543
1 135 0.321383 0.0789698
0 136 0.312737 -0.00957574
1 136 0.326215 -0.0467096
0 137 0.488726 -0.284444
1 137 0.499318 -0.317921
0 138 -0.206429 -0.247022
1 138 -0.177392 -0.293589
0 139 0.232374 0.025711
1 139 0.246109 -0.0090725
0 140 0.350181 0.15192
1 140 0.355995 0.100635
0 141 0.232278 0.024265
1 141 0.246261 -0.00948007
0 142 0.080585 -0.157273
1 142 0.10406 -0.181063
0 143 -0.147808 -0.22367
1 143 -0.121191 -0.267581
0 144 0.0420172 0.209535
1 144 0.053477 0.156405
0 145 -0.195759 -0.0474709
1 145 -0.169169 -0.0935822
0 146 0.148488 0.228179
1 146 0.149576 0.154006
0 147 -0.327294 -0.351507
1 147 -0.288483 -0.394646
0 148 -0.0959987 0.13042
1 148 -0.0849647 0.0503535
0 149 -0.0178315 -0.112417
1 149 0.00187481 -0.154802
0 150 0.251621 0.195513
1 150 0.263332 0.156712
0 151 0.432102 -0.257226
1 151 0.443282 -0.288869
0 152 -0.100813 -0.0139018
1 152 -0.0806455 -0.0607536
0 153 -0.0559526 -0.145408
1 153 -0.0344902 -0.188586
0 154 -0.20938 -0.232884
1 154 -0.180511 -0.279743
0 155 -0.0556218 -0.144614
1 155 -0.0351284 -0.188353
0 156 -0.326005 -0.353431
1 156 -0.288239 -0.398011
0 157 0.111985 -0.0775169
1 157 0.127737 -0.120048
0 158 -0.109377 -0.189163
1 158 -0.0852488 -0.233049
0 159 -0.193586 -0.222869
1 159 -0.165541 -0.269765
0 160 -0.0459455 0.115703
1 160 -0.0304397 0.0631893
0 161 0.288244 0.0656002
1 161 0.300304 0.0266769
0 162 0.264532 0.0234042
1 162 0.280536 -0.00786739
0 163 -0.178482 -0.21425
1 163 -0.151571 -0.261444
0 164 0.139406 0.0022504
1 164 0.153324 -0.0396169
0 165 -0.0764898 -0.0505985
1 165 -0.0544158 -0.0918878
0 166 -0.0305046 0.15493
1 166 -0.0479319 -0.0138199
0 167 0.0221214 -0.0777272
1 167 0.040834 -0.118936
0 168 0.00171507 -0.0764489
1 168 0.020037 -0.120334
0 169 0.141144 -0.275103
1 169 0.160364 -0.304388
0 170 0.211905 0.271017
1 170 0.226061 0.231022
0 171 0.314234 0.170209
1 171 0.319836 0.117722
0 172 0.121734 -0.26409
1 172 0.142816 -0.290637
0 173 -0.0341902 -0.0710573
1 173 -0.0159213 -0.118234
0 174 -0.186325 -0.244008
1 174 -0.158382 -0.288825
0 175 -0.283938 -0.319233
1 175 -0.248726 -0.364891
0 176 0.156854 0.209864
1 176 0.168135 0.158847
0 177 0.0858656 -0.0773272
1 177 0.100754 -0.119175
0 125 0.0794232 -0.0954208
0 178 0.195089 0.296517
1 178 0.209392 0.258306
0 179 0.205361 0.125043
1 179 0.215685 0.0766047
0 180 0.258562 0.204465
1 180 0.270459 0.164421
0 181 -0.0108173 0.193747
1 181 0.00449229 0.144405
0 182 -0.178741 -0.211493
1 182 -0.152343 -0.258291
0 183 -0.0245621 -0.0634178
1 183 -0.00630282 -0.110007
0 184 0.0119422 -0.0644621
1 184 0.0299285 -0.107977
0 185 0.0399616 -0.0585849
1 185 0.0574445 -0.0998085
0 186 0.092935 -0.244883
1 186 0.119937 -0.257227
0 187 0.183311 0.204014
1 187 0.192304 0.155487
0 188 -0.178106 -0.210204
1 188 -0.151412 -0.256257
0 189 0.130234 -0.0703375
1 189 0.145528 -0.110392
0 190 0.0225662 -0.132279
1 190 0.0424127 -0.17192
0 191 0.328394 0.139022
1 191 0.335598 0.0892482
0 178 0.19479 0.29661
0 192 -0.0692128 0.125217
1 192 -0.051747 0.0737268
0 193 0.209201 0.241151
1 193 0.222062 0.20075
0 194 -0.180945 -0.0792363
1 194 -0.154105 -0.122199
0 195 0.242375 0.217476
1 195 0.253673 0.178555
0 196 0.339995 0.189631
1 196 0.34504 0.136625
0 197 -0.199297 -0.252864
1 197 -0.171803 -0.299784
0 198 -0.123814 -0.185291
1 198 -0.0995442 -0.231297
0 199 0.0778481 -0.0172411
1 199 0.0929642 -0.0636196
0 200 0.371697 0.17421
1 200 0.376753 0.122089
0 201 0.0447564 0.15596
1 201 0.0559964 0.0998446
0 202 -0.0336232 0.185023
1 202 -0.0167091 0.137179
0 203 -0.234605 -0.0504807
1 203 -0.205764 -0.0947125
0 204 -0.0104165 0.195346
1 204 0.00420534 0.145562
0 205 0.0699115 0.160888
1 205 0.0804281 0.105889
0 206 0.346434 -0.00954346
1 206 0.368695 -0.0245777
0 207 -0.00859231 -0.18258
1 207 0.0132055 -0.220429
0 208 0.088857 -0.0895824
1 208 0.105459 -0.130856
0 209 -0.0288231 -0.118657
1 209 -0.00813126 -0.16087
0 210 -0.12492 -0.0803575
1 210 -0.0993519 -0.121013
0 211 0.31055 -0.0393177
1 211 0.324722 -0.0733456
0 177 0.0852686 -0.076524
0 212 -0.177566 -0.080889
1 212 -0.150768 -0.12272
0 213 -0.072 -0.138685
1 213 -0.0502909 -0.184005
0 214 -0.20211 -0.27057
1 214 -0.172398 -0.315321
0 215 -0.187469 -0.0387553
1 215 -0.160232 -0.0829281
0 216 0.212277 0.186833
1 216 0.222407 0.140479
0 217 -0.0653228 -0.268228
1 217 -0.0396071 -0.301019
0 218 -0.21414 -0.276035
1 218 -0.184543 -0.321281
0 219 0.064851 0.161894
1 219 0.076543 0.107967
0 220 0.527584 -0.318184
1 220 0.536327 -0.350986
0 221 -0.257442 -0.308142
1 221 -0.224263 -0.353259
0 222 -0.239527 -0.269884
1 222 -0.208087 -0.316497
0 223 0.197177 0.0398827
1 223 0.211682 0.00303681
0 224 0.332708 0.141568
1 224 0.338854 0.0911644
0 222 -0.239159 -0.269905
0 225 -0.130098 -0.0525441
1 225 -0.106809 -0.0966227
0 226 -0.00115044 -0.161615
1 226 0.0200705 -0.199802
0 227 0.207498 0.24181
1 227 0.218503 0.198885
0 228 -0.108205 0.0103228
1 228 -0.0883789 -0.0397712
0 229 0.00758644 0.287031
1 229 0.000529013 0.164032
0 230 -0.0774356 -0.155554
1 230 -0.0558283 -0.199872
0 231 0.23444 0.178287
1 231 0.242146 0.128177
0 232 0.307689 0.157758
1 232 0.311926 0.104807
0 233 0.0370778 -0.105378
1 233 0.055736 -0.146482
0 234 0.133021 -0.195933
1 234 0.147911 -0.232085
0 235 0.0702302 0.295503
1 235 0.0841912 0.249856
0 236 0.155867 0.133556
1 236 0.164757 0.082187
0 237 -0.138875 -0.0486724
1 237 -0.114768 -0.0922283
0 238 -0.101302 -0.311283
1 238 -0.0724091 -0.339884
0 239 0.288344 0.0521185
1 239 0.301161 0.0120676
0 240 0.185112 0.146163
1 240 0.193878 0.0947556
0 241 -0.218894 -0.0438943
1 241 -0.190379 -0.0873942
0 242 -0.201187 -0.262765
1 242 -0.171584 -0.30699
0 243 0.325106 0.169082
1 243 0.330569 0.116541
0 244 -0.175637 -0.0830717
1 244 -0.14885 -0.125628
0 245 -0.066369 -0.0468441
1 245 -0.0447073 -0.0875929
0 246 -0.172647 -0.192372
1 246 -0.1483 -0.240337
0 247 0.00599932 -0.159271
1 247 0.0270715 -0.197371
0 248 0.121144 -0.297466
1 248 0.143533 -0.320325
0 249 -0.226708 -0.286334
1 249 -0.196046 -0.330029
0 250 0.376454 0.219074
1 250 0.38013 0.165137
0 251 -0.133001 -0.171269
1 251 -0.108969 -0.218865
0 252 0.133076 0.00330769
1 252 0.147211 -0.0401839
0 253 0.321569 0.00134447
1 253 0.333861 -0.0356222
0 254 -0.224022 -0.0464639
1 254 -0.195387 -0.0904078
0 255 -0.167043 -0.0629479
1 255 -0.140358 -0.106943
0 256 -0.139696 -0.177297
1 256 -0.114646 -0.224357
0 257 0.545808 -0.380846
1 257 0.553854 -0.413223
0 258 -0.191256 0.318469
1 258 -0.178988 0.209998
0 259 -0.192406 -0.232884
1 259 -0.16487 -0.279879
0 260 0.296896 0.158431
1 260 0.303303 0.106918
0 261 0.155971 -0.342016
1 261 0.175287 -0.364031
0 262 -0.161095 -0.0782419
1 262 -0.134806 -0.12043
0 263 -0.0654962 -0.108187
1 263 -0.0454493 -0.156103
0 264 0.519269 -0.295816
1 264 0.529054 -0.330012
0 265 0.24766 0.0294711
1 265 0.263599 -0.00282174
0 266 -0.261721 -0.292097
1 266 -0.228584 -0.338564
0 162 0.21791 -0.0726156
0 267 0.109414 -0.252957
1 267 0.129063 -0.279633
0 268 -0.0723683 -0.110085
1 268 -0.0511373 -0.156704
0 269 -0.100816 -0.0581746
1 269 -0.0781032 -0.0995798
0 270 0.121577 -0.311507
1 270 0.144551 -0.331017
0 271 -0.0946939 -0.170771
1 271 -0.0716718 -0.214635
0 272 0.370641 0.212701
1 272 0.374083 0.158323
0 273 0.0645716 0.219902
1 273 0.075514 0.167476
0 274 0.119829 -0.0315648
1 274 0.13463 -0.0759887
0 275 0.0720967 -0.0769803
1 275 0.0894303 -0.117322
0 241 -0.218212 -0.0409568
0 276 -0.00201665 -0.0918614
1 276 0.0170235 -0.133502
0 277 -0.191072 -0.0586002
1 277 -0.164477 -0.102395
0 278 -0.103879 -0.0446674
1 278 -0.0821777 -0.0884027
0 279 -0.149059 -0.198692
1 279 -0.123503 -0.245486
0 280 -0.0857604 -0.0565123
1 280 -0.0632635 -0.0978364
0 270 0.12217 -0.311647
0 281 0.26986 0.112324
1 281 0.281768 0.0710613
0 282 -0.15265 -0.0797711
1 282 -0.127236 -0.121553
0 283 -0.0533616 0.0867579
1 283 -0.0420321 0.0155278
0 284 0.0800511 0.162263
1 284 0.0919431 0.10754
0 285 0.397975 0.231952
1 285 0.40131 0.17842
0 286 0.336144 0.14546
1 286 0.341906 0.0945907
0 287 -0.00851322 -0.0842266
1 287 0.00946641 -0.127268
0 288 0.210626 0.0183607
1 288 0.224639 -0.0173141
0 289 -0.117738 -0.156497
1 289 -0.0940243 -0.203576
0 290 -0.115747 -0.196523
1 290 -0.0913108 -0.24062
0 260 0.297829 0.158886
0 291 -0.232903 -0.260288
1 291 -0.202692 -0.307099
0 292 0.280969 0.0195469
1 292 0.407405 0.22421
0 293 -0.188966 -0.216074
1 293 -0.16194 -0.263425
0 294 0.145709 0.196081
1 294 0.175682 0.201452
0 295 0.304597 0.16157
1 295 0.310333 0.109215
0 296 -0.138151 -0.216035
1 296 -0.112406 -0.259743
0 295 0.304371 0.161398
0 297 -0.230386 -0.0500147
1 297 -0.201344 -0.0931509
0 298 0.0576379 -0.151384
1 298 0.0742241 -0.195193
0 298 0.058836 -0.149912
0 299 0.123944 -0.0850681
1 299 0.139166 -0.125729
0 300 0.0974682 0.102562
1 300 0.105353 0.0425774
0 301 0.245379 0.0246377
1 301 0.262859 -0.00661234
0 302 0.350137 0.191605
1 302 0.352525 0.135913
0 303 -0.0565921 -0.0293756
1 303 -0.036176 -0.0702586
0 304 -0.0379639 -0.221254
1 304 -0.0143302 -0.256484
0 305 -0.0818171 0.113248
1 305 -0.0680028 0.0398048
0 306 0.0953858 -0.053119
1 306 0.111749 -0.0907454
0 307 0.21509 0.0194375
1 307 0.230651 -0.0163982
0 308 -0.14683 -0.0582958
1 308 -0.122722 -0.102148
0 309 0.158036 0.230569
1 309 0.163016 0.166182
0 310 0.387886 0.213156
1 310 0.189286 -0.257388
0 311 -0.0116949 -0.11305
1 311 0.00897986 -0.154459
0 312 -0.246112 -0.301576
1 312 -0.213703 -0.345735
0 313 0.118164 0.191854
1 313 0.126517 0.128763
0 314 0.117495 -0.311693
1 314 0.139893 -0.328956
0 261 0.152532 -0.348166
0 315 -0.128489 -0.0739885
1 315 -0.1038 -0.115003
0 316 -0.0923743 0.134786
1 316 -0.0812393 0.0567997
0 317 -0.137512 0.147273
1 317 -0.123089 0.0621339
0 318 0.370509 0.158704
1 318 0.377077 0.110375
0 319 0.224491 0.177484
1 319 0.233632 0.130959
0 320 0.0807515 -0.105346
1 320 0.0926394 -0.156724
0 321 -0.270152 -0.298056
1 321 -0.236831 -0.344194
0 322 0.39353 0.221743
1 322 0.397902 0.168794
0 323 0.0443987 0.0385376
1 323 0.0597715 -0.00978773
0 324 -0.232654 -0.2602
1 324 -0.202185 -0.306729
0 196 0.340163 0.189904
0 325 0.116212 0.190688
1 325 0.120235 0.119435
0 326 0.226576 0.184093
1 326 0.238487 0.140985
0 327 -0.00255978 -0.0843209
1 327 0.0157654 -0.128171
0 328 0.3871 0.20065
1 328 0.391046 0.14766
0 329 0.398381 0.221432
1 329 0.402211 0.168229
0 330 0.0168357 -0.0836545
1 330 0.0336574 -0.126213
0 331 -0.17811 -0.0581791
1 331 -0.15265 -0.101406
0 332 -0.227017 -0.0540471
1 332 -0.19751 -0.0975422
0 333 0.360564 0.176493
1 333 0.365545 0.12417
0 334 0.123207 -0.0651637
1 334 0.137689 -0.106031
0 335 -0.235793 -0.059794
1 335 -0.205485 -0.104725
0 336 0.172769 0.0215482
1 336 0.189446 -0.0130835
0 337 0.142173 -0.0849119
1 337 0.158788 -0.120164
0 338 0.0214409 -0.0858378
1 338 0.0379635 -0.128818
0 339 -0.0223785 -0.20459
1 339 -0.000369284 -0.241816
0 340 -0.077517 -0.170159
1 340 -0.0552245 -0.214155
0 341 -0.335471 -0.355468
1 341 -0.297792 -0.400915
0 342 0.0122316 0.151645
1 342 0.0254397 0.0965373
0 323 0.0444201 0.0397376
0 343 0.276993 -0.0318238
1 343 0.292186 -0.0651746
0 344 0.174744 0.0493722
1 344 0.192644 0.0175252
0 345 0.0204131 0.221242
1 345 0.0349382 0.173401
0 346 0.00280563 -0.192787
1 346 0.0237373 -0.228652
0 347 0.00272418 -0.192639
1 347 0.0239335 -0.229048
0 348 0.133384 0.163125
1 348 0.138981 0.100337
0 349 0.171285 0.0112052
1 349 0.186672 -0.0234511
0 350 0.0144901 0.147985
1 350 0.0281979 0.0941597
0 351 -0.136016 -0.0737283
1 351 -0.111164 -0.116141
0 352 -0.204441 -0.0690228
1 352 -0.176407 -0.112028
0 353 -0.0248207 -0.200571
1 353 -0.00227563 -0.237339
0 354 0.0027044 0.0560398
1 354 0.0151177 -0.00473478
0 355 0.240069 0.0189283
1 355 0.25627 -0.0125118
0 356 -0.0793575 -0.165458
1 356 -0.0572897 -0.209294
0 357 -0.0988668 -0.18218
1 357 -0.0775536 -0.227952
0 358 0.304759 0.0797916
1 358 0.316316 0.0416308
0 359 0.2211 0.0081647
1 359 0.236297 -0.0250245
0 360 0.0316337 -0.160111
1 360 0.0508773 -0.19866
0 361 0.0871671 -0.0160292
1 361 0.0995848 -0.0672423
0 362 0.0328587 -0.0777298
1 362 0.0511066 -0.118746
0 363 0.0873296 -0.0165585
1 363 0.0994365 -0.0681092
0 364 0.156013 0.0358107
1 364 0.172336 0.000321224
0 365 0.0962565 -0.0733517
1 365 0.111528 -0.116456
0 366 -0.202289 0.273836
1 366 -0.190291 0.170663
0 320 0.0792949 -0.108563
0 359 0.220745 0.0107765
0 367 0.21727 0.197014
1 367 0.226942 0.150395
0 368 0.0313962 -0.197785
1 368 0.053995 -0.227997
0 369 -0.134388 -0.178905
1 369 -0.109991 -0.226442
0 370 0.123035 -0.319472
1 370 0.145475 -0.337681
0 371 0.0124812 -0.206844
1 371 0.0339401 -0.241995
0 372 0.138076 0.209549
1 372 0.138835 0.131943
0 373 0.2514 0.0445107
1 373 0.266294 0.0114781
0 374 -0.0497966 0.0792397
1 374 -0.03782 0.00761765
0 375 0.207048 -0.273608
1 375 0.224482 -0.303352
0 376 -0.308334 -0.327655
1 376 -0.27179 -0.372601
0 377 0.161439 -0.35513
1 377 0.184848 -0.373502
0 370 0.122795 -0.316869
0 378 0.358183 0.166058
1 378 0.364138 0.115156
0 379 0.55849 -0.200239
1 379 0.535043 -0.280449
0 380 0.0314027 0.201995
1 380 0.0454205 0.151885
0 381 -0.104485 -0.0592288
1 381 -0.0824836 -0.101294
0 382 -0.0475216 0.270181
1 382 -0.0270627 0.228819
0 383 0.0362299 -0.0337383
1 383 0.0522443 -0.0781827
0 376 -0.306148 -0.325502
0 384 0.247912 0.10485
1 384 0.256443 0.0574909
0 385 0.0303041 -0.0311665
1 385 0.0465493 -0.0766905
0 386 -0.0908349 -0.123486
1 386 -0.0698349 -0.17128
0 387 -0.249908 -0.276822
1 387 -0.217441 -0.322301
0 388 0.314294 0.147453
1 388 0.321239 0.0962055
0 389 -0.0782494 -0.040108
1 389 -0.0555615 -0.0810524
0 390 0.120515 0.225662
1 390 0.121858 0.148809
0 391 -0.00956218 -0.165954
1 391 0.0112206 -0.204772
0 392 0.119323 -0.324972
1 392 0.141746 -0.344545
0 393 0.164693 0.0299338
1 393 0.1801 -0.00529725
0 394 -0.165972 -0.058044
1 394 -0.141064 -0.101588
0 395 -0.259974 -0.273643
1 395 -0.227447 -0.318226
0 396 -0.00266393 0.123712
1 396 0.0111363 0.0713644
0 397 0.0647627 0.126463
1 397 0.0782934 0.0747854
0 398 0.0136658 -0.137089
1 398 0.0339625 -0.176296
0 399 -0.0504201 0.168533
1 399 -0.0315553 0.125364
0 400 0.372807 0.182521
1 400 0.37848 0.131245
0 401 0.105613 -0.107977
1 401 0.121695 -0.143149
0 381 -0.104612 -0.0592226
0 402 -0.0717343 -0.158084
1 402 -0.0487557 -0.200574
0 403 -0.0508161 -0.240305
1 403 -0.0274498 -0.276981
0 404 0.137359 0.200394
1 404 0.138011 0.126077
0 405 0.426705 0.234045
1 405 0.430433 0.181146
0 406 0.287186 0.151935
1 406 0.295832 0.101874
0 407 0.195302 -0.250732
1 407 0.211516 -0.278277
0 408 -0.164375 -0.192388
1 408 -0.138923 -0.240098
0 409 -0.0313901 0.210512
1 409 -0.0147531 0.165228
0 410 0.395548 0.205312
1 410 0.399255 0.151906
0 411 -0.012606 -0.0853294
1 411 0.0058251 -0.129978
0 412 0.32576 0.176361
1 412 0.331095 0.123361
0 413 -0.0280516 0.229785
1 413 -0.0119252 0.184118
0 414 -0.233016 0.0229802
1 414 -0.201584 -0.000828447
0 415 0.0204153 -0.128338
1 415 0.0407163 -0.166933
0 416 0.00430849 -0.154956
1 416 0.0253141 -0.193475
0 417 0.509236 0.0183999
1 417 0.542433 0.0178543
0 418 0.359643 0.00856565
1 418 0.388724 0.00771702
0 419 0.211077 0.0973667
1 419 0.222108 0.0514222
0 420 0.178946 -0.265551
1 420 0.19651 -0.295508
0 421 0.110894 -0.0237642
1 421 0.123622 -0.0746188
0 422 0.0992681 -0.0756498
1 422 0.115118 -0.117418
0 423 0.346356 0.194861
1 423 0.351384 0.141783
0 424 -0.250979 -0.309728
1 424 -0.217838 -0.353968
0 425 0.28516 -0.0756336
1 425 0.300461 -0.104998
0 426 0.224995 0.0969286
1 426 0.234987 0.0505004
0 427 0.029339 0.157875
1 427 0.0409744 0.103172
0 428 0.108803 -0.00926313
